"ReceivedAt","AttachmentIndex","FileName","Airline","Profile","PermitNumber","Status","Error"
"03/08/2026 17:59:52","1","haanh6889_20260803_132349_email_000_LD-2785_CXR-EO-AUG2026__REV2_ (1).doc","EO/KAR - KAR","kar-english-landing-revision","(chưa lấy được)","CÁCH LY","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD 08002/S/CHK/2026"
"03/08/2026 17:59:52","2","dungdm_20260729_172132_email_007__SPA070__REV1_LD-2702_S26_04AUG-07AUG_ND.docx","PRV - Spa070","spa070-vietnamese-landing-revision","(chưa lấy được)","CÁCH LY","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD-8001/07/2026"
"03/08/2026 17:59:52","4","haanh6889_20260803_132349_email_000_LD-2785_CXR-EO-AUG2026__REV2_.doc","EO/KAR - KAR","kar-english-landing-revision","(chưa lấy được)","CÁCH LY","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD 08003/S/CHK/2026"
"03/08/2026 17:59:52","5","haanhlv_20260803_153158_email_001_LD-03.B.S.2026VN.REV5.docx","ET/ETH - ETH","eth-english-landing-revision","(chưa lấy được)","CÁCH LY","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD 8004B/S/CHK/2026"
"03/08/2026 17:59:52","8","LD  2655 (REV1).docx","PRV - Ollie Landing Revision","prv-ollie-landing-revision","(chưa lấy được)","CÁCH LY","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD 08006/S/CHK/2026"
"03/08/2026 17:59:52","9","LD 2353 HAI rev2.docx","HAI - HANG KHONG HAI AU","hai-english-landing-revision","(chưa lấy được)","CÁCH LY","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD 08009/S/CHK/2026"
"03/08/2026 17:59:52","10","LD 2473 KYE REV1.docx","GG/KYE - KYE","kye-english-landing-revision","(chưa lấy được)","CÁCH LY","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD 08010/S/CHK/2026"
"03/08/2026 17:59:52","12","LD 2486  N77999 (REV1).docx","PRV - Jet Aviation Landing Revision","prv-jet-aviation-landing-revision","(chưa lấy được)","CÁCH LY","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD 08013/S/CHK/2026"
"03/08/2026 17:59:52","14","LD 2475 GTI (REV1).docx","5Y/GTI - GTI","gti-english-landing-revision","(chưa lấy được)","CÁCH LY","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD 08012/S/CHK/2026"
"03/08/2026 17:59:52","30","LD 2517 HVN.docx","VN/HVN - HVN","hvn-vietnamese-landing-change","(chưa lấy được)","CÁCH LY","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD 08030/S/CHK/2026"
"03/08/2026 17:59:52","41","LD 2763 LTX1.docx","LTX - LTX","ltx-english-landing-issued","LD 08041/S/CHK/2026","CÁCH LY","BR-ATFM-REFERENCE: Không tìm thấy dữ liệu đối chiếu trong ATFM: M_OPER.OPER_ICAO=LTX."
"03/08/2026 17:59:52","61","LD 2799.doc","DHC - mã ICAO trích từ lỗi đối chiếu ATFM","caav-generic-landing-issued","LD 08060/S/CHK/2026","CÁCH LY","BR-ATFM-REFERENCE: Không tìm thấy dữ liệu đối chiếu trong ATFM: M_OPER.OPER_ICAO=DHC."
"03/08/2026 17:59:52","69","LD 2830 HVN.docx","VN/HVN - HVN","hvn-vietnamese-landing-change","(chưa lấy được)","CÁCH LY","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD 08069/S/CHK/2026"
"03/08/2026 17:59:52","81","LD 2847 HVN384.docx","VN/HVN - HVN","hvn-vietnamese-landing-change","(chưa lấy được)","CÁCH LY","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD 08082/S/CHK/2026"
"03/08/2026 17:59:52","83","LD-88_A_S_2026VN.RVS.22JUL26.docx","Chưa xác định hãng/không phải giấy phép","caav-english-issued-permit-revision","(chưa lấy được)","CÁCH LY","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD 8084A/S/CHK/2026"
"03/08/2026 17:59:52","84","LD2587 REV3.-PTW.docx","VV/PTW - PTW","ptw-english-landing-revision","(chưa lấy được)","CÁCH LY","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD 08085/S/CHK/2026"
"03/08/2026 17:59:52","85","LD-2667_rev2_VU774..._24-31jul_G17.44-260722-170288.docx","Chưa xác định hãng/không phải giấy phép","caav-generic-landing-revision","(chưa lấy được)","CÁCH LY","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD 08083/S/CHK/2026"
"03/08/2026 17:59:52","86","OF 4669 RVS 2.docx","PRV - Sinojet Overflight Revision","prv-sinojet-overflight-revision","(chưa lấy được)","CÁCH LY","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: O/F 08086/S/CHK/2026"
"03/08/2026 17:59:52","87","OF 4690 RVS 1 VJT232.docx","VJT - VISTAJET LIMITED","vjt-vistajet-overflight-revision","(chưa lấy được)","CÁCH LY","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: O/F 08087/S/CHK/2026"
"03/08/2026 17:59:52","88","OF 4690 RVS 2.docx","VJT - VISTAJET LIMITED","vjt-vistajet-overflight-revision","(chưa lấy được)","CÁCH LY","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: O/F 08088/S/CHK/2026"
"03/08/2026 17:59:52","95","OF 4840 RVS 1.docx","RED - REDSTAR","red-redstar-overflight-revision","(chưa lấy được)","CÁCH LY","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: O/F 08095/S/CHK/2026"
"03/08/2026 17:59:52","101","OF 4873 VPBFP.docx","PRV - Hong Kong Jet Overflight Issued","prv-hong-kong-jet-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","102","OF 4876.docx","NN/AIR - AIR","air-airflite-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","103","OF 4875.docx","VPB - SANDS AVIATION BERMUDA LTD","vpb-sands-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","104","OF 4877.docx","NN/AIR - AIR","air-airflite-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","106","OF 4879.docx","PRV - Lily Jet Overflight Issued","prv-lily-jet-overflight-issued","O/F 08106/S/CHK/2026","CÁCH LY","BR-ATFM-REFERENCE: Không tìm thấy dữ liệu đối chiếu trong ATFM: M_OPER.OPER_ICAO=POS."
"03/08/2026 17:59:52","107","OF 4881.docx","MH/MAS - MAS","mas-english-overflight-issued","(chưa lấy được)","THẤT BẠI","Ngày bắt đầu hiệu lực không hợp lệ: 04JULY26."
"03/08/2026 17:59:52","108","of 4880 KAL.docx","KE/KAL - KAL","kal-english-overflight-issued","(chưa lấy được)","THẤT BẠI","Không tìm thấy bảng đường bay theo format caav-english-overflight-scheduled."
"03/08/2026 17:59:52","109","OF 4883.docx","PRV - Sultan Flight Overflight Issued","prv-sultan-flight-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","110","OF 4882.docx","PRV - Sultan Flight Overflight Issued","prv-sultan-flight-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","111","OF 4884.docx","PRV - Freedom Charter Overflight Issued","prv-freedom-charter-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","112","OF 4885.docx","PRV - Gsec Overflight Issued","prv-gsec-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","113","OF 4886.docx","PRV - Arirang Overflight Issued","prv-arirang-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","114","OF 4887 N858KE.docx","BLR - BLOOMBERRY RESORTS AND HOTELS INC","blr-bloomberry-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","115","OF 4888.docx","PRV - Minebea Overflight Issued","prv-minebea-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","116","OF 4889.docx","PRV - Minebea Overflight Issued","prv-minebea-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","117","OF 4890.docx","OGA - ORIENT GLOBAL AVIATION LTD","oga-orient-global-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","118","OF 4891.docx","PRV - Pacific Eagle Overflight Issued","prv-pacific-eagle-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
