"CorpusFile","Id","SyncJobId","OriginalName","OriginalPath","OriginalError","Checksum"
"4474_OF_5481_VJT.docx","4474","1375","OF 5481 VJT.docx","D:\vatm-storage\error\2026\07\31\tu1412000_20260801_161402_email_quarantine_tu1412000_20260801_160216_email_quarantine_tu1412000_20260731_172703_email_quarantine_028_OF_5481_VJT.docx","PERMIT-REVISION-REVIEW: Phép bay O/F 05481/S/CHK/2026 đã được nhập trước đó nhưng có dữ liệu lịch bay khác.","3539bcc7ba7dd665906507700cb000005ea20be89ecc3ee8dbdf263db1c46c7c"
"4469_OF_5495_THY.docx","4469","1384","OF 5495 THY.docx","D:\vatm-storage\error\2026\07\31\tu1412000_20260801_161417_email_quarantine_tu1412000_20260801_160239_email_quarantine_tu1412000_20260731_172708_email_quarantine_037_OF_5495_THY.docx","PERMIT-REVISION-REVIEW: Phép bay O/F 05495/S/CHK/2026 đã được nhập trước đó nhưng có dữ liệu lịch bay khác.","08f9c034e09b76c5d4e5a295a050280d693153b07f50d6ea59fe1f000f8d6007"
"4468_OF_5497_THY.docx","4468","1388","OF 5497 THY.docx","D:\vatm-storage\error\2026\07\31\tu1412000_20260801_161425_email_quarantine_tu1412000_20260801_160250_email_quarantine_tu1412000_20260731_172710_email_quarantine_041_OF_5497_THY.docx","PERMIT-REVISION-REVIEW: Phép bay O/F 05497/S/CHK/2026 đã được nhập trước đó nhưng có dữ liệu lịch bay khác.","e5e1e050f5ef56a0f10562bdead0198ab25f45e28721c57820ab3ed8734b98f6"
"4466_OF_5495_THY6314_COR_LAY.docx","4466","1383","OF 5495 THY6314 COR LAY.docx","D:\vatm-storage\error\2026\07\31\tu1412000_20260801_161416_email_quarantine_tu1412000_20260801_160238_email_quarantine_tu1412000_20260731_172707_email_quarantine_036_OF_5495_THY6314_COR_LAY.docx","PERMIT-REVISION-REVIEW: Phép bay O/F 05495/S/CHK/2026 đã được nhập trước đó nhưng có dữ liệu lịch bay khác.","8ee6cf924096047d760632542f7a1822314574354b22cca93eff34786f26a888"
"4465_OF_5500_QQE.docx","4465","1390","OF 5500 QQE.docx","D:\vatm-storage\error\2026\07\31\tu1412000_20260801_161430_email_quarantine_tu1412000_20260801_160302_email_quarantine_tu1412000_20260731_172711_email_quarantine_043_OF_5500_QQE.docx","BR-ATFM-REFERENCE: Không tìm thấy dữ liệu đối chiếu trong ATFM: M_OPER.OPER_ICAO=POS.","9896f8c0a71d044f5b4e50e2daff09296d0301da209e8fff4d673967d75ab3a6"
"4457_OF_5486_VJT.docx","4457","1379","OF 5486 VJT.docx","D:\vatm-storage\error\2026\07\31\tu1412000_20260801_161410_email_quarantine_tu1412000_20260801_160227_email_quarantine_tu1412000_20260731_172705_email_quarantine_032_OF_5486_VJT.docx","PERMIT-REVISION-REVIEW: Phép bay O/F 05486/S/CHK/2026 đã được nhập trước đó nhưng có dữ liệu lịch bay khác.","07d2e01112fc22e8f26a52c926c555749ba70d70fb28292fa9b245aa6a9112c0"
"4455_OF_5487_VJT.docx","4455","1381","OF 5487 VJT.docx","D:\vatm-storage\error\2026\07\31\tu1412000_20260801_161413_email_quarantine_tu1412000_20260801_160233_email_quarantine_tu1412000_20260731_172706_email_quarantine_034_OF_5487_VJT.docx","PERMIT-REVISION-REVIEW: Phép bay O/F 05487/S/CHK/2026 đã được nhập trước đó nhưng có dữ liệu lịch bay khác.","ea08f480e9efc631e3bb7cb27c143b5d932e64ac3379ac98e5cdd0e94369aad8"
"4453_LD_2847_HVN384.docx","4453","1469","LD 2847 HVN384.docx","D:\vatm-storage\error\2026\07\31\pactrifmilo2_20260731_201003_email_quarantine_000_LD_2847_HVN384.docx","PERMIT-REVISION-REVIEW: Phép bay LD-2848/07/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM.","ba5488fc40bdb469da2a1971284bcbf85caa0d8c259fc8d15b27bbd23a131a40"
"4450_LD_2846_HVN.docx","4450","1471","LD 2846 HVN.docx","D:\vatm-storage\error\2026\07\31\pactrifmilo2_20260731_201008_email_quarantine_003_LD_2846_HVN.docx","Đã xảy ra lỗi trong quá trình xử lý. Vui lòng xem nhật ký kỹ thuật để biết chi tiết.","8161068883601a99df065cb6afa2cd3fbc015702b705230afff31313865c249f"
"4449_LD_2845_HVN7109.docx","4449","1472","LD 2845 HVN7109.docx","D:\vatm-storage\error\2026\07\31\pactrifmilo2_20260731_201010_email_quarantine_004_LD_2845_HVN7109.docx","PERMIT-REVISION-REVIEW: Phép bay LD 02846/S/CHK/2026 đã được nhập trước đó nhưng có dữ liệu lịch bay khác.","09d0f4db1990acdc8b597f4cddc4a6f3481b656cfa7b82f1258be3176137c9cb"
"4447_OF_5489_B16888.docx","4447","1470","OF 5489 B16888.docx","D:\vatm-storage\error\2026\07\31\pactrifmilo2_20260731_201005_email_002_OF_5489_B16888.docx","Không tìm thấy format YAML phù hợp. Các format gần nhất: caav-english-overflight-scheduled=0.53, caav-english-overflight-revision=0.05, caav-english-issued-permit-revision=0.00","8792c4e904778877d084ae1d1b14dd7e834d9b1e4406b7a6f24825b080fc7d67"
"4428_Application_for_Revision_of_landing_permit_LD.06.B.S.2026VN.REV3_for_FX9005_04AUG2026.docx","4428","1883","Application for Revision of landing permit_LD.06.B.S.2026VN.REV3_for FX9005_04AUG2026.docx","D:\vatm-storage\error\2026\08\03\truongngoc_20260803_225808_email_000_Application_for_Revision_of_landing_permit_LD.06.B.S.2026VN.REV3_for_FX9005_04AUG2026.docx","Không hỗ trợ định dạng giấy phép bay Word này; không có format YAML nào phù hợp.","c29d2985fa135a2c6c81099148b29f1af75eb239de47aea9e3d3cb753e422122"
