"Iata","Icao","Name","Formats","Documents","Flights"
"CC","ABD","ABD","abd-english-overflight-issued","3","3"
"","ACJ","AC AVIATION CO.,LTD","acj-english-overflight-issued","1","1"
"HQ","ADZ","ADZ","adz-english-overflight-issued","1","5"
"KJ","AIH","AIH","aih-english-landing-issued","1","12"
"FD","AIQ","AIQ","aiq-english-overflight-issued","1","1"
"NN","AIR","AIR","air-airflite-overflight-issued","2","2"
"Z2","APG","APG","apg-english-overflight-issued","1","1"
"","ASI","ASIAN CORPORATE AVIATION MANAGEMENT PTE LTD","asi-asian-corporate-overflight-issued","2","3"
"ZT","AWC","AWC","awc-english-landing-issued","1","2"
"7L","AZG","AZG","azg-english-landing-revision
azg-english-overflight-issued","2","3"
"ZF","AZV","AZV","azv-english-landing-issued","1","6"
"QH","BAV","BAV","bav-vietnamese-landing-issued","1","5"
"","BLR","BLOOMBERRY RESORTS AND HOTELS INC","blr-bloomberry-overflight-issued","1","4"
"","BSF","BLUESKY AIR JSC","bsf-english-landing-issued","1","2"
"B3","BTN","BTN","btn-english-overflight-issued","1","1"
"K4","CKS","CKS","cks-english-landing-issued","2","12"
"CV","CLX","CLX","clx-english-landing-issued","1","2"
"9C","CQH","CQH","cqh-english-overflight-issued","1","2"
"ET","ETH","ETH","eth-english-landing-revision","1","4"
"FX","FDX","FDX","fdx-english-landing-issued
fdx-english-overflight-issued","4","5"
"5Y","GTI","GTI","gti-english-landing-issued
gti-english-landing-revision
gti-english-overflight-issued","7","34"
"","HAI","HANG KHONG HAI AU","hai-english-landing-issued
hai-english-landing-revision","5","11"
"HB","HGB","HGB","hgb-english-landing-issued","1","16"
"HC","HGO","HGO","hgo-english-overflight-issued","2","6"
"RH","HKC","HKC","hkc-english-landing-issued","1","2"
"VN","HVN","HVN","hvn-vietnamese-landing-change","6","305"
"6E","IGO","IGO","igo-english-landing-issued","1","2"
"GH","IGT","IGT","igt-english-overflight-issued
igt-english-overflight-scheduled","3","9"
"KE","KAL","KAL","kal-english-overflight-issued","1","2"
"EO","KAR","KAR","kar-english-landing-issued
kar-english-landing-revision","3","36"
"8K","KMI","KMI","kmi-english-overflight-issued","1","1"
"WW","KXP","KXP","kxp-english-overflight-scheduled","1","37"
"GG","KYE","KYE","kye-english-landing-issued
kye-english-landing-revision","3","40"
"","LTX","LTX","ltx-english-landing-issued","1","2"
"MH","MAS","MAS","mas-english-overflight-issued","1","2"
"C6","MFX","MFX","mfx-english-overflight-issued","1","1"
"3Y","MYU","MYU","myu-english-landing-issued","2","4"
"N4","NWS","NWS","nws-english-landing-issued","1","30"
"","OGA","ORIENT GLOBAL AVIATION LTD","oga-orient-global-overflight-issued","1","1"
"NN","PFA","PFA","pfa-bilingual-qlb-issued
pfa-english-landing-issued
pfa-english-overflight-issued","3","8"
"","PRV","Alpha Wings Landing Issued","prv-alpha-wings-landing-issued","1","2"
"","PRV","Alpha Wings Overflight Issued","prv-alpha-wings-overflight-issued","1","1"
"","PRV","Amber Landing Issued","prv-amber-landing-issued","3","10"
"","PRV","Amber Overflight Issued","prv-amber-overflight-issued","2","2"
"","PRV","Arirang Overflight Issued","prv-arirang-overflight-issued","1","2"
"","PRV","Avcair Qlb Issued","prv-avcair-qlb-issued","1","2"
"","PRV","Circadian Landing Issued","prv-circadian-landing-issued","1","3"
"","PRV","Circadian Overflight Issued","prv-circadian-overflight-issued","1","1"
"","PRV","Freedom Charter Overflight Issued","prv-freedom-charter-overflight-issued","1","1"
"","PRV","Gsec Overflight Issued","prv-gsec-overflight-issued","1","1"
"","PRV","Hong Kong Jet Overflight Issued","prv-hong-kong-jet-overflight-issued","1","1"
"","PRV","Jet Aviation Landing Revision","prv-jet-aviation-landing-revision","1","9"
"","PRV","Jet Concierge Landing Issued","prv-jet-concierge-landing-issued","1","2"
"","PRV","Lily Jet Overflight Issued","prv-lily-jet-overflight-issued","3","4"
"","PRV","Loft Shine Overflight Issued","prv-loft-shine-overflight-issued","1","2"
"","PRV","Mados Landing Issued","prv-mados-landing-issued","1","2"
"","PRV","Minebea Overflight Issued","prv-minebea-overflight-issued","2","2"
"","PRV","Ollie Landing Revision","prv-ollie-landing-revision","1","2"
"","PRV","Orbital Sky Overflight Revision","prv-orbital-sky-overflight-revision","1","1"
"","PRV","Pacific Eagle Overflight Issued","prv-pacific-eagle-overflight-issued","1","2"
"","PRV","Sinojet Overflight Issued","prv-sinojet-overflight-issued","2","3"
"","PRV","Sinojet Overflight Revision","prv-sinojet-overflight-revision","1","1"
"","PRV","Spa017","spa017-vietnamese-seasonal-landing-revision","0","0"
"","PRV","Spa066","spa066-vietnamese-landing-revision","0","0"
"","PRV","Spa070","spa070-vietnamese-landing-revision","1","4"
"","PRV","Sultan Flight Overflight Issued","prv-sultan-flight-overflight-issued","3","6"
"VV","PTW","PTW","ptw-english-landing-revision","1","1"
"QR","QTR","QTR","qtr-english-landing-issued","1","2"
"","RCR","ROMCARGO AIRLINES","rcr-inline-overflight-issued","1","1"
"","RED","REDSTAR","red-redstar-overflight-revision","1","1"
"","SAV","CONG TY SUN AIR","sav-sun-air-landing-issued","3","14"
"9A","SIN","SIN","sin-english-landing-issued
sin-english-overflight-scheduled","2","4"
"9G","SPQ","SPQ","spq-vietnamese-landing-issued","3","12"
"3V","TAY","TAY","tay-english-overflight-issued","1","2"
"TV","TBA","TBA","tba-english-landing-issued","1","2"
"","TBJ","TAG AVIATION ASIA LTD, HONG KONG.","tbj-english-landing-issued","2","4"
"TK","THY","THY","thy-english-overflight-issued","3","3"
"T5","TUA","TUA","tua-english-landing-issued","2","4"
"VU","VAG","VAG","vag-vietnamese-landing-issued","2","31"
"VI","VDA","VDA","vda-english-landing-issued","2","6"
"0V","VFC","VFC","vfc-vietnamese-landing-change","3","85"
"VJ","VJC","VJC","vjc-vietnamese-landing-issued","5","521"
"","VJT","VISTAJET LIMITED","vjt-english-landing-issued
vjt-inline-overflight-issued
vjt-vistajet-overflight-revision","10","13"
"","VNA","VNA","vna-vietstar-landing-issued","1","7"
"","VPB","SANDS AVIATION BERMUDA LTD","vpb-sands-overflight-issued","1","1"
"DV","VSV","VSV","vsv-english-landing-issued","2","74"
